Austria,47.516231,14.550072,Europe
Brazil,-10.864265,-41.844341,South America
Cambodia,12.565679,104.990963,Asia
Canada,56.130366,-106.346771,North America
China,35.86166,104.195397,Asia
Colombia,4.570868,-74.297333,South America
Dominican_Republic,18.735693,-70.162651,Caribbean
Ecuador,-1.831239,-78.183406,South America
French_Guiana,3.933889,-53.125782,South America
French_Polynesia,-17.679742,-149.406843,Oceania
Guatemala,15.783471,-90.230759,Central America
Haiti,18.971187,-72.285215,Caribbean
Honduras,15.199999,-86.241905,Central America
Italy,41.87194,12.56738,Europe
Jamaica,18.109581,-77.297508,Caribbean
Japan,36.204824,138.252924,Asia
Martinique,14.641528,-61.024174,Caribbean
Mexico,23.634501,-102.552784,North America
Micronesia,7.425554,150.550812,Oceania
Nicaragua,12.865416,-85.207229,Central America
Panama,8.537981,-80.782127,Central America
Peru,-9.189967,-75.015152,South America
Philippines,12.879721,121.774017,Asia
Puerto_Rico,18.220833,-66.590149,North America
Russia,61.52401,105.318756,Asia
Singapore,1.352083,103.819836,Asia
Suriname,3.919305,-56.027783,South America
Taiwan,23.69781,120.960515,Asia
Thailand,15.870032,100.992541,Asia
Tonga,-21.178986,-175.198242,Oceania
USA,28.143708,-81.619948,USA
United_Kingdom,55.378051,-3.435973,Europe
Venezuela,6.42375,-66.58973,South America
